2026-08-03,Products,-466,SkinCare
2026-08-10,Resturants,-889,Food
2026-08-07,Electricity,-1864,Bills
2026-08-07,Uber driver,-4402,Transport
2026-08-07,Uber driver,-1537,Transport
2026-08-02,Electricity,-3364,Bills
2026-08-04,Resturants,-924,Food
2026-08-02,Uber driver,-4993,Transport
2026-08-12,School supplies,-1949,Education
2026-08-01,Groceries,-884,Food
2026-08-03,Electricity,-3015,Bills
2026-08-11,Electricity,-1801,Bills
2026-08-07,Uber driver,-100,Transport
2026/08/01,Netflix,-500,Entertainment
 2026-08-10,Pharmacy,-250
THIS IS NOT A TRANSACTION
2026-08-04,Electricity,xyz,Bills
2026-08-07,Uber driver,-100,Transport
 2026-08-06,Airtime,-150,Communication  
2026-08-11,School supplies,-500,Health
2026-08-11,School supplies,500,Education
